variantId,boards,rank,tcg,name,set,collectorNumber,tier,missingImage,nonStdCanvas,reachableViaCurrentOpaqueId,onDiskDims,packImageDims,qcVersion
223,tcg300,182,pokemon,Rayquaza VMAX,S8b: VMAX Climax,252/184,C_drift_nonstd,False,True,False,716x1000,716x1000,raw-front-v3
233,tcg300,184,pokemon,Kanazawa Pikachu No Mark S-P,No Mark,147/S-P,C_drift_nonstd,False,True,False,441x610,441x610,raw-front-v3
236,tcg300,190,pokemon,Yokohama's Pikachu,SM-P: Sun & Moon Promos,283/SM-P,C_drift_nonstd,False,True,False,716x996,716x996,raw-front-v3
237,tcg300,191,pokemon,Pikachu,Illustration Contest 2024 Promo Card Commemoration Campaign for Award-Winning Works,242/SV-P,C_drift_nonstd,False,True,False,433x609,433x609,raw-front-v3
241,tcg300,185,pokemon,Eevee ex,SV8a: Terastal Fest ex,223/187,C_drift_nonstd,False,True,False,669x935,669x935,raw-front-v3
243,tcg300,188,pokemon,Reshiram & Zekrom GX,SM11b: Dream League,064/049,C_drift_nonstd,False,True,False,716x996,716x996,raw-front-v3
246,tcg300,192,pokemon,Blastoise,s8a-P: Promo Card Pack 25th Anniversary Edition,003/025,C_drift_nonstd,False,True,False,500x698,500x698,raw-front-v3
248,tcg300,186,pokemon,Arceus & Dialga & Palkia GX,SM12: Alter Genesis,100/095,C_drift_nonstd,False,True,False,716x996,716x996,raw-front-v3
252,tcg300,199,pokemon,Pikachu VMAX,S8b: VMAX Climax,223/184,C_drift_nonstd,False,True,False,716x1000,716x1000,raw-front-v3
253,tcg300,203,pokemon,Zekrom ex,SV11B: Black Bolt,169/086,C_drift_nonstd,False,True,False,320x452,320x452,raw-front-v3
254,tcg300,194,pokemon,Zapdos ex,SV2a: Pokemon Card 151,204/165,C_drift_nonstd,False,True,False,640x900,640x900,raw-front-v3
255,tcg300,193,pokemon,Reshiram ex,SV11W: White Flare,168/086,C_drift_nonstd,False,True,False,320x452,320x452,raw-front-v3
260,tcg300,197,pokemon,Charmander,SV2a: Pokemon Card 151,168/165,C_drift_nonstd,False,True,False,640x905,640x905,raw-front-v3
264,tcg300,195,pokemon,Pikachu,SV-P,120/SV-P,C_drift_nonstd,False,True,False,434x609,434x609,raw-front-v3
265,tcg300,196,pokemon,Venusaur,s8a-P: Promo Card Pack 25th Anniversary Edition,002/025,C_drift_nonstd,False,True,False,600x838,600x838,raw-front-v3
266,tcg300,204,pokemon,Mew ex,s8a-P: Promo Card Pack 25th Anniversary Edition,014/025,C_drift_nonstd,False,True,False,500x698,500x698,raw-front-v3
275,tcg300,214,pokemon,Pikachu,Pika! Pika! Pikachu! Promotion Card Campaign,124/S-P,C_drift_nonstd,False,True,False,430x610,430x610,raw-front-v3
280,tcg300,201,pokemon,Mew V,S8: Fusion Arts,106/100,C_drift_nonstd,False,True,False,716x1000,716x1000,raw-front-v3
288,tcg300,212,pokemon,Pikachu ex,SV8a: Terastal Fest ex,236/187,C_drift_nonstd,False,True,False,716x1000,716x1000,raw-front-v3
292,tcg300,209,pokemon,Pikachu VMAX,Pika! Pika! Pikachu! Promotion Card Campaign,123/S-P,C_drift_nonstd,False,True,False,430x610,430x610,raw-front-v3
295,tcg300,211,pokemon,Charizard V,S12a: VSTAR Universe,211/172,C_drift_nonstd,False,True,False,709x1000,709x1000,raw-front-v3
